"TreeID","Girth_cm","DateRange","Start_Year","End_Year"
1,149,"2007-2015
",2007,2015
2,153,"2007-2015
",2007,2015
2,167,"2016-2019
",2016,2019
3,78,"2007-2015
",2007,2015
3,86,"2016-2019
",2016,2019
4,152,"2007-2015
",2007,2015
4,174,"2016-2019
",2016,2019
5,402,"2007-2015
",2007,2015
5,406,"2016-2019
",2016,2019
6,303,"2007-2015
",2007,2015
6,376,"2016-2019
",2016,2019
7,380,"2007-2015
",2007,2015
7,317,"2016-2019
",2016,2019
10,84,"2007-2015
",2007,2015
11,50,"2007-2015
",2007,2015
12,220,"2007-2015
",2007,2015
13,100,"2007-2015
",2007,2015
14,107,"2007-2015
",2007,2015
15,190,"2007-2015
",2007,2015
16,175,"2007-2015
",2007,2015
16,173,"2016-2019
",2016,2019
17,169,"2007-2015
",2007,2015
17,169,"2016-2019
",2016,2019
18,75,"2007-2015
",2007,2015
19,115,"2007-2015
",2007,2015
19,120,"2016-2019
",2016,2019
20,66,"2007-2015
",2007,2015
20,68,"2016-2019
",2016,2019
21,74,"2007-2015
",2007,2015
21,92,"2016-2019
",2016,2019
22,120,"2007-2015
",2007,2015
22,165,"2016-2019
",2016,2019
23,137,"2007-2015
",2007,2015
23,140,"2016-2019
",2016,2019
24,146,"2007-2015
",2007,2015
24,156,"2016-2019
",2016,2019
25,110,"2016-2019
",2016,2019
26,215,"2007-2015
",2007,2015
26,238,"2016-2019
",2016,2019
27,144,"2007-2015
",2007,2015
27,174,"2016-2019
",2016,2019
28,206,"2007-2015
",2007,2015
28,274,"2016-2019
",2016,2019
29,171,"2007-2015
",2007,2015
29,178,"2016-2019
",2016,2019
30,161,"2007-2015
",2007,2015
30,175,"2016-2019
",2016,2019
31,194,"2007-2015
",2007,2015
31,229,"2016-2019
",2016,2019
32,88,"2007-2015
",2007,2015
33,80,"2007-2015
",2007,2015
35,139,"2007-2015
",2007,2015
36,146,"2007-2015
",2007,2015
37,139,"2007-2015
",2007,2015
37,148,"2016-2019
",2016,2019
38,99,"2007-2015
",2007,2015
38,115,"2016-2019
",2016,2019
39,117,"2007-2015
",2007,2015
39,126,"2016-2019
",2016,2019
40,143,"2007-2015
",2007,2015
40,148,"2016-2019
",2016,2019
41,126,"2007-2015
",2007,2015
41,131,"2016-2019
",2016,2019
42,167,"2007-2015
",2007,2015
42,177,"2016-2019
",2016,2019
43,133,"2007-2015
",2007,2015
43,147,"2016-2019
",2016,2019
44,135,"2007-2015
",2007,2015
44,152,"2016-2019
",2016,2019
45,110,"2007-2015
",2007,2015
45,118,"2016-2019
",2016,2019
46,138,"2007-2015
",2007,2015
46,145,"2016-2019
",2016,2019
47,76,"2007-2015
",2007,2015
47,85,"2016-2019
",2016,2019
48,66,"2007-2015
",2007,2015
48,77,"2016-2019
",2016,2019
49,126,"2007-2015
",2007,2015
49,132,"2016-2019
",2016,2019
50,75,"2007-2015
",2007,2015
50,81,"2016-2019
",2016,2019
51,118,"2007-2015
",2007,2015
51,127,"2016-2019
",2016,2019
53,143,"2007-2015
",2007,2015
53,153,"2016-2019
",2016,2019
54,85,"2007-2015
",2007,2015
54,88,"2016-2019
",2016,2019
55,192,"2007-2015
",2007,2015
55,285,"2016-2019
",2016,2019
56,90,"2007-2015
",2007,2015
57,160,"2007-2015
",2007,2015
58,199,"2007-2015
",2007,2015
58,205,"2016-2019
",2016,2019
59,90,"2007-2015
",2007,2015
60,150,"2007-2015
",2007,2015
60,147,"2016-2019
",2016,2019
61,180,"2007-2015
",2007,2015
61,207,"2016-2019
",2016,2019
62,159,"2016-2019
",2016,2019
63,97,"2016-2019
",2016,2019
64,192,"2007-2015
",2007,2015
64,173,"2016-2019
",2016,2019
65,125,"2007-2015
",2007,2015
65,140,"2016-2019
",2016,2019
67,65,"2007-2015
",2007,2015
69,400,"2007-2015
",2007,2015
69,400,"2016-2019
",2016,2019
70,378,"2007-2015
",2007,2015
71,95,"2007-2015
",2007,2015
71,105,"2016-2019
",2016,2019
72,100,"2007-2015
",2007,2015
73,67,"2007-2015
",2007,2015
74,78,"2007-2015
",2007,2015
75,120,"2007-2015
",2007,2015
75,138,"2016-2019
",2016,2019
76,69,"2007-2015
",2007,2015
76,76,"2016-2019
",2016,2019
77,69,"2007-2015
",2007,2015
77,71,"2016-2019
",2016,2019
78,64,"2007-2015
",2007,2015
78,79,"2016-2019
",2016,2019
79,82,"2007-2015
",2007,2015
79,91,"2016-2019
",2016,2019
80,127,"2007-2015
",2007,2015
80,139,"2016-2019
",2016,2019
81,123,"2007-2015
",2007,2015
81,129,"2016-2019
",2016,2019
82,153,"2007-2015
",2007,2015
82,171,"2016-2019
",2016,2019
83,105,"2007-2015
",2007,2015
83,109,"2016-2019
",2016,2019
84,53,"2007-2015
",2007,2015
85,90,"2007-2015
",2007,2015
85,97,"2016-2019
",2016,2019
86,186,"2007-2015
",2007,2015
86,297,"2016-2019
",2016,2019
87,109,"2007-2015
",2007,2015
88,92,"2007-2015
",2007,2015
88,95,"2016-2019
",2016,2019
89,82,"2007-2015
",2007,2015
89,75,"2016-2019
",2016,2019
90,91,"2007-2015
",2007,2015
90,80,"2016-2019
",2016,2019
91,61,"2007-2015
",2007,2015
92,94,"2007-2015
",2007,2015
92,92,"2016-2019
",2016,2019
93,106,"2007-2015
",2007,2015
93,110,"2016-2019
",2016,2019
94,71,"2007-2015
",2007,2015
95,125,"2007-2015
",2007,2015
95,138,"2016-2019
",2016,2019
96,104,"2007-2015
",2007,2015
96,105,"2016-2019
",2016,2019
97,125,"2007-2015
",2007,2015
97,138,"2016-2019
",2016,2019
98,94,"2007-2015
",2007,2015
98,100,"2016-2019
",2016,2019
99,113,"2007-2015
",2007,2015
99,122,"2016-2019
",2016,2019
100,109,"2007-2015
",2007,2015
100,110,"2016-2019
",2016,2019
101,89,"2007-2015
",2007,2015
102,174,"2007-2015
",2007,2015
102,177,"2016-2019
",2016,2019
103,110,"2007-2015
",2007,2015
103,103,"2016-2019
",2016,2019
104,78,"2007-2015
",2007,2015
105,134,"2007-2015
",2007,2015
106,71,"2007-2015
",2007,2015
107,122,"2007-2015
",2007,2015
107,110,"2016-2019
",2016,2019
108,97,"2007-2015
",2007,2015
108,103,"2016-2019
",2016,2019
109,120,"2007-2015
",2007,2015
109,126,"2016-2019
",2016,2019
110,78,"2007-2015
",2007,2015
110,73,"2016-2019
",2016,2019
111,55,"2007-2015
",2007,2015
111,53,"2016-2019
",2016,2019
112,156,"2016-2019
",2016,2019
113,90,"2007-2015
",2007,2015
114,85,"2007-2015
",2007,2015
115,68,"2007-2015
",2007,2015
116,133,"2007-2015
",2007,2015
116,142,"2016-2019
",2016,2019
117,69,"2007-2015
",2007,2015
118,63,"2007-2015
",2007,2015
119,87,"2007-2015
",2007,2015
119,87,"2016-2019
",2016,2019
120,80,"2007-2015
",2007,2015
121,104,"2007-2015
",2007,2015
122,113,"2007-2015
",2007,2015
123,382,"2007-2015
",2007,2015
123,400,"2016-2019
",2016,2019
124,67,"2007-2015
",2007,2015
124,65,"2016-2019
",2016,2019
125,87,"2007-2015
",2007,2015
125,90,"2016-2019
",2016,2019
126,109,"2007-2015
",2007,2015
126,110,"2016-2019
",2016,2019
127,171,"2007-2015
",2007,2015
127,189,"2016-2019
",2016,2019
128,159,"2007-2015
",2007,2015
128,184,"2016-2019
",2016,2019
129,211,"2007-2015
",2007,2015
130,85,"2007-2015
",2007,2015
130,84,"2016-2019
",2016,2019
131,118,"2007-2015
",2007,2015
131,170,"2016-2019
",2016,2019
132,122,"2007-2015
",2007,2015
133,112,"2007-2015
",2007,2015
133,110,"2016-2019
",2016,2019
134,141,"2007-2015
",2007,2015
135,442,"2007-2015
",2007,2015
135,444,"2016-2019
",2016,2019
136,114,"2007-2015
",2007,2015
136,121,"2016-2019
",2016,2019
137,114,"2007-2015
",2007,2015
137,132,"2016-2019
",2016,2019
138,124,"2016-2019
",2016,2019
139,81,"2016-2019
",2016,2019
140,134,"2007-2015
",2007,2015
140,144,"2016-2019
",2016,2019
141,82,"2007-2015
",2007,2015
142,82,"2007-2015
",2007,2015
143,115,"2007-2015
",2007,2015
143,169,"2016-2019
",2016,2019
144,39,"2007-2015
",2007,2015
144,43,"2016-2019
",2016,2019
145,45,"2007-2015
",2007,2015
145,49,"2016-2019
",2016,2019
146,109,"2007-2015
",2007,2015
146,200,"2016-2019
",2016,2019
147,168,"2007-2015
",2007,2015
147,271,"2016-2019
",2016,2019
148,59,"2007-2015
",2007,2015
148,93,"2016-2019
",2016,2019
149,52,"2007-2015
",2007,2015
149,75,"2016-2019
",2016,2019
150,320,"2016-2019
",2016,2019
151,56,"2007-2015
",2007,2015
151,67,"2016-2019
",2016,2019
152,33,"2007-2015
",2007,2015
152,37,"2016-2019
",2016,2019
153,51,"2007-2015
",2007,2015
153,58,"2016-2019
",2016,2019
154,58,"2007-2015
",2007,2015
154,63,"2016-2019
",2016,2019
155,44,"2007-2015
",2007,2015
156,27,"2007-2015
",2007,2015
157,31,"2007-2015
",2007,2015
157,34,"2016-2019
",2016,2019
158,27,"2007-2015
",2007,2015
159,143,"2016-2019
",2016,2019
160,86,"2007-2015
",2007,2015
160,134,"2016-2019
",2016,2019
161,98,"2007-2015
",2007,2015
161,156,"2016-2019
",2016,2019
162,41,"2007-2015
",2007,2015
162,40,"2016-2019
",2016,2019
163,49,"2007-2015
",2007,2015
163,85,"2016-2019
",2016,2019
164,47,"2007-2015
",2007,2015
164,56,"2016-2019
",2016,2019
165,67,"2007-2015
",2007,2015
165,99,"2016-2019
",2016,2019
166,79,"2007-2015
",2007,2015
166,90,"2016-2019
",2016,2019
167,21,"2007-2015
",2007,2015
167,23,"2016-2019
",2016,2019
168,15,"2007-2015
",2007,2015
168,44,"2016-2019
",2016,2019
169,35,"2007-2015
",2007,2015
169,44,"2016-2019
",2016,2019
170,44,"2007-2015
",2007,2015
170,50,"2016-2019
",2016,2019
171,41,"2007-2015
",2007,2015
171,71,"2016-2019
",2016,2019
172,72,"2007-2015
",2007,2015
172,87,"2016-2019
",2016,2019
174,109,"2007-2015
",2007,2015
174,182,"2016-2019
",2016,2019
175,28,"2007-2015
",2007,2015
176,49,"2007-2015
",2007,2015
176,51,"2016-2019
",2016,2019
177,117,"2007-2015
",2007,2015
177,130,"2016-2019
",2016,2019
178,38,"2007-2015
",2007,2015
179,45,"2007-2015
",2007,2015
179,50,"2016-2019
",2016,2019
181,44,"2007-2015
",2007,2015
181,49,"2016-2019
",2016,2019
182,31,"2007-2015
",2007,2015
182,26,"2016-2019
",2016,2019
184,200,"2007-2015
",2007,2015
185,220,"2007-2015
",2007,2015
186,176,"2007-2015
",2007,2015
187,448,"2007-2015
",2007,2015
188,199,"2007-2015
",2007,2015
189,152,"2007-2015
",2007,2015
190,92,"2007-2015
",2007,2015
191,121,"2007-2015
",2007,2015
192,154,"2007-2015
",2007,2015
193,55,"2007-2015
",2007,2015
194,61,"2007-2015
",2007,2015
195,150,"2007-2015
",2007,2015
196,218,"2007-2015
",2007,2015
197,176,"2007-2015
",2007,2015
198,169,"2007-2015
",2007,2015
199,64,"2007-2015
",2007,2015
199,88,"2016-2019
",2016,2019
200,292,"2007-2015
",2007,2015
201,124,"2007-2015
",2007,2015
202,89,"2007-2015
",2007,2015
203,81,"2007-2015
",2007,2015
204,190,"2007-2015
",2007,2015
205,62,"2007-2015
",2007,2015
206,64,"2007-2015
",2007,2015
207,74,"2007-2015
",2007,2015
209,121,"2007-2015
",2007,2015
209,132,"2016-2019
",2016,2019
210,36,"2007-2015
",2007,2015
211,101,"2007-2015
",2007,2015
212,83,"2007-2015
",2007,2015
213,63,"2007-2015
",2007,2015
214,139,"2007-2015
",2007,2015
215,124,"2007-2015
",2007,2015
216,77,"2007-2015
",2007,2015
217,100,"2007-2015
",2007,2015
218,137,"2007-2015
",2007,2015
219,193,"2007-2015
",2007,2015
220,86,"2007-2015
",2007,2015
221,166,"2007-2015
",2007,2015
222,112,"2007-2015
",2007,2015
223,117,"2007-2015
",2007,2015
224,80,"2007-2015
",2007,2015
225,103,"2007-2015
",2007,2015
226,83,"2007-2015
",2007,2015
227,145,"2007-2015
",2007,2015
228,55,"2007-2015
",2007,2015
229,78,"2007-2015
",2007,2015
230,148,"2007-2015
",2007,2015
230,165,"2016-2019
",2016,2019
231,193,"2007-2015
",2007,2015
231,201,"2016-2019
",2016,2019
232,126,"2007-2015
",2007,2015
233,68,"2007-2015
",2007,2015
234,140,"2007-2015
",2007,2015
235,123,"2007-2015
",2007,2015
235,126,"2016-2019
",2016,2019
236,126,"2007-2015
",2007,2015
236,135,"2016-2019
",2016,2019
237,194,"2007-2015
",2007,2015
237,204,"2016-2019
",2016,2019
238,79,"2007-2015
",2007,2015
238,80,"2016-2019
",2016,2019
239,70,"2007-2015
",2007,2015
240,166,"2007-2015
",2007,2015
240,180,"2016-2019
",2016,2019
241,124,"2007-2015
",2007,2015
241,126,"2016-2019
",2016,2019
242,132,"2007-2015
",2007,2015
243,71,"2007-2015
",2007,2015
244,69,"2007-2015
",2007,2015
245,118,"2007-2015
",2007,2015
246,82,"2007-2015
",2007,2015
246,88,"2016-2019
",2016,2019
247,48,"2016-2019
",2016,2019
248,35,"2007-2015
",2007,2015
249,138,"2007-2015
",2007,2015
250,51,"2007-2015
",2007,2015
251,103,"2007-2015
",2007,2015
252,92,"2007-2015
",2007,2015
253,57,"2007-2015
",2007,2015
254,53,"2007-2015
",2007,2015
255,75,"2007-2015
",2007,2015
256,93,"2007-2015
",2007,2015
257,153,"2007-2015
",2007,2015
258,136,"2007-2015
",2007,2015
259,111,"2007-2015
",2007,2015
260,57,"2007-2015
",2007,2015
261,113,"2007-2015
",2007,2015
262,171,"2007-2015
",2007,2015
263,201,"2007-2015
",2007,2015
264,147,"2007-2015
",2007,2015
265,139,"2007-2015
",2007,2015
266,67,"2007-2015
",2007,2015
267,112,"2007-2015
",2007,2015
268,88,"2007-2015
",2007,2015
269,163,"2007-2015
",2007,2015
270,177,"2007-2015
",2007,2015
271,81,"2007-2015
",2007,2015
272,100,"2007-2015
",2007,2015
273,71,"2007-2015
",2007,2015
274,83,"2007-2015
",2007,2015
275,141,"2007-2015
",2007,2015
