"TreeID","species","SPlocation","Score","Date","Year","JulianDay","Girth_cm","DateRange","Start_Year","End_Year","Period"
1,"quercus.robur","Rookery slope",2,"2010-04-13",2010,103,149,"2007-2015
",2007,2015,1
2,"quercus.robur","Rookery slope",2,"2009-03-30",2009,89,153,"2007-2015
",2007,2015,1
2,"quercus.robur","Rookery slope",2,"2016-04-13",2016,104,167,"2016-2019
",2016,2019,2
3,"quercus.robur","Rookery slope",2,"2013-05-02",2013,122,78,"2007-2015
",2007,2015,1
3,"quercus.robur","Rookery slope",2,"2017-04-13",2017,103,86,"2016-2019
",2016,2019,2
4,"quercus.robur","Rookery slope",2,"2013-04-24",2013,114,152,"2007-2015
",2007,2015,1
4,"quercus.robur","Rookery slope",2,"2018-04-16",2018,106,174,"2016-2019
",2016,2019,2
5,"quercus.robur","Rookery slope",2,"2010-04-11",2010,101,402,"2007-2015
",2007,2015,1
5,"quercus.robur","Rookery slope",2,"2018-04-16",2018,106,406,"2016-2019
",2016,2019,2
6,"quercus.robur","Elm slope",2,"2011-04-05",2011,95,303,"2007-2015
",2007,2015,1
7,"quercus.robur","Elm slope",2,"2009-03-28",2009,87,380,"2007-2015
",2007,2015,1
10,"quercus.robur","Farm wood",2,"2015-04-09",2015,99,84,"2007-2015
",2007,2015,1
11,"quercus.robur","Farm wood",2,"2012-03-29",2012,89,50,"2007-2015
",2007,2015,1
12,"quercus.robur","Farm wood",2,"2015-04-11",2015,101,220,"2007-2015
",2007,2015,1
13,"quercus.robur","Farm wood",2,"2012-04-11",2012,102,100,"2007-2015
",2007,2015,1
14,"quercus.robur","Farm wood",2,"2009-04-10",2009,100,107,"2007-2015
",2007,2015,1
15,"quercus.robur","Farm wood",2,"2012-04-09",2012,100,190,"2007-2015
",2007,2015,1
16,"quercus.robur","Nursery Field",2,"2015-04-19",2015,109,175,"2007-2015
",2007,2015,1
17,"quercus.robur","Nursery Field",2,"2012-04-03",2012,94,169,"2007-2015
",2007,2015,1
17,"quercus.robur","Nursery Field",2,"2016-04-19",2016,110,169,"2016-2019
",2016,2019,2
19,"quercus.robur","Nursery Field",2,"2007-04-06",2007,96,115,"2007-2015
",2007,2015,1
19,"quercus.robur","Nursery Field",2,"2018-04-21",2018,111,120,"2016-2019
",2016,2019,2
20,"quercus.robur","Nursery Field",2,"2012-04-15",2012,106,66,"2007-2015
",2007,2015,1
20,"quercus.robur","Nursery Field",2,"2016-05-05",2016,126,68,"2016-2019
",2016,2019,2
21,"quercus.robur","Nursery Field",2,"2013-04-28",2013,118,74,"2007-2015
",2007,2015,1
21,"quercus.robur","Nursery Field",2,"2016-04-22",2016,113,92,"2016-2019
",2016,2019,2
22,"quercus.robur","Nursery Field",2,"2009-04-08",2009,98,120,"2007-2015
",2007,2015,1
