"","Record.number","In.refID","IndividualID","Predator","Predator.common.name","Predator.taxon","Predator.lifestage","Type.of.feeding.interaction","Predator.mass","Prey","Prey.common.name","Prey.taxon","Prey.mass","Prey.mass.unit","Location"
"1",1,"ATSH063","1","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1540,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",14.3,"g","Apalachicola Bay, Florida"
"2",2,"ATSH080","2","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1600,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",6.02,"g","Apalachicola Bay, Florida"
"3",3,"ATSH089","3","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1840,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",11.9,"g","Apalachicola Bay, Florida"
"4",4,"ATSH143","4","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",87.6,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",8.12,"g","Apalachicola Bay, Florida"
"5",5,"ATSH161","5","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",63.9,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",6.56,"g","Apalachicola Bay, Florida"
"6",6,"ATSH166","6","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",79.2,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",5.41,"g","Apalachicola Bay, Florida"
"7",7,"ATSH172","7","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",71.2,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",4.45,"g","Apalachicola Bay, Florida"
"8",8,"ATSH192","8","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",92.1,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",5.98,"g","Apalachicola Bay, Florida"
"9",9,"ATSH205","9","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",79.2,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",6.95,"g","Apalachicola Bay, Florida"
"10",10,"ATSH205","9","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",79.2,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",5.6,"g","Apalachicola Bay, Florida"
"11",11,"ATSH209","10","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",87.6,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",4.64,"g","Apalachicola Bay, Florida"
"12",12,"ATSH215","11","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",79.2,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",3.7,"g","Apalachicola Bay, Florida"
"13",13,"ATSH226","12","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",117,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",2.41,"g","Apalachicola Bay, Florida"
"14",14,"ATSH229","13","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",83.3,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",0.32,"g","Apalachicola Bay, Florida"
"15",15,"ATSH233","14","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",63.9,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",5.41,"g","Apalachicola Bay, Florida"
"16",16,"ATSH233","14","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",63.9,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",6.37,"g","Apalachicola Bay, Florida"
"17",17,"ATSH237","15","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",96.7,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",4.27,"g","Apalachicola Bay, Florida"
"18",18,"ATSH237","15","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",96.7,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",6.56,"g","Apalachicola Bay, Florida"
